Ticker,Company,Sector
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials
LOW,LOWES COMPANIES INC,Consumer Discretionary
SPGI,S&P GLOBAL INC,Financials
UNP,UNION PACIFIC CORP,Industrials
MDT,MEDTRONIC PLC,Health Care
AMGN,AMGEN INC,Health Care
SBUX,STARBUCKS CORP,Consumer Discretionary
T,AT&T INC,Communication
QCOM,QUALCOMM INC,Information Technology
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology
BA,BOEING,Industrials
PLD,PROLOGIS REIT INC,Real Estate
GE,GENERAL ELECTRIC,Industrials
CAT,CATERPILLAR INC,Industrials
ISRG,INTUITIVE SURGICAL INC,Health Care
GS,GOLDMAN SACHS GROUP INC,Financials
ELV,ELEVANCE HEALTH INC,Health Care
MS,MORGAN STANLEY,Financials
AMAT,APPLIED MATERIAL INC,Information Technology
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary
NOW,SERVICENOW INC,Information Technology
LMT,LOCKHEED MARTIN CORP,Industrials
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples
BLK,BLACKROCK INC,Financials
GILD,GILEAD SCIENCES INC,Health Care
DE,DEERE,Industrials
ADI,ANALOG DEVICES INC,Information Technology
SYK,STRYKER CORP,Health Care
AXP,AMERICAN EXPRESS,Financials
TJX,TJX INC,Consumer Discretionary
ADP,AUTOMATIC DATA PROCESSING INC,Industrials
AMT,AMERICAN TOWER REIT CORP,Real Estate
CVS,CVS HEALTH CORP,Health Care
MMC,MARSH & MCLENNAN INC,Financials
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives
C,CITIGROUP INC,Financials
VRTX,VERTEX PHARMACEUTICALS INC,Health Care
TMUS,T MOBILE US INC,Communication
ZTS,ZOETIS INC CLASS A,Health Care
CB,CHUBB LTD,Financials
REGN,REGENERON PHARMACEUTICALS INC,Health Care
MO,ALTRIA GROUP INC,Consumer Staples
SCHW,CHARLES SCHWAB CORP,Financials
PGR,PROGRESSIVE CORP,Financials
LRCX,LAM RESEARCH CORP,Information Technology
UBER,UBER TECHNOLOGIES INC,Industrials
SO,SOUTHERN,Utilities
BSX,BOSTON SCIENTIFIC CORP,Health Care
CI,CIGNA,Health Care
FISV,FISERV INC,Financials
MU,MICRON TECHNOLOGY INC,Information Technology
PYPL,PAYPAL HOLDINGS INC,Financials
BDX,BECTON DICKINSON,Health Care
DUK,DUKE ENERGY CORP,Utilities
ETN,EATON PLC,Industrials
TGT,TARGET CORP,Consumer Staples
AON,AON PLC CLASS A,Financials
EQIX,EQUINIX REIT INC,Real Estate
EOG,EOG RESOURCES INC,Energy
CSX,CSX CORP,Industrials
CME,CME GROUP INC CLASS A,Financials
SLB,SCHLUMBERGER NV,Energy
CL,COLGATE-PALMOLIVE,Consumer Staples
HUM,HUMANA INC,Health Care
NOC,NORTHROP GRUMMAN CORP,Industrials
ITW,ILLINOIS TOOL INC,Industrials
SNPS,SYNOPSYS INC,Information Technology
ICE,INTERCONTINENTAL EXCHANGE INC,Financials
WM,WASTE MANAGEMENT INC,Industrials
APD,AIR PRODUCTS AND CHEMICALS INC,Materials
BX,BLACKSTONE INC,Financials
HCA,HCA HEALTHCARE INC,Health Care
PANW,PALO ALTO NETWORKS INC,Information Technology
KLAC,KLA CORP,Information Technology
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary
ATVI,ACTIVISION BLIZZARD INC,Communication
MMM,3M,Industrials
EW,EDWARDS LIFESCIENCES CORP,Health Care
SHW,SHERWIN WILLIAMS,Materials
MCK,MCKESSON CORP,Health Care
FDX,FEDEX CORP,Industrials
SNOW,SNOWFLAKE CLASS A,Information Technology
FCX,FREEPORT MCMORAN INC,Materials
MCO,MOODYS CORP,Financials
NSC,NORFOLK SOUTHERN CORP,Industrials
GIS,GENERAL MILLS INC,Consumer Staples
PXD,PIONEER NATURAL RESOURCE,Energy
MPC,MARATHON PETROLEUM CORP,Energy
CCI,CROWN CASTLE INC,Real Estate
AZO,AUTOZONE INC,Consumer Discretionary
MSI,MOTOROLA SOLUTIONS INC,Information Technology
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials
USD,USD CASH,Cash and/or Derivatives
ROP,ROPER TECHNOLOGIES INC,Information Technology
GD,GENERAL DYNAMICS CORP,Industrials
DG,DOLLAR GENERAL CORP,Consumer Staples
KMB,KIMBERLY CLARK CORP,Consumer Staples
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary
EMR,EMERSON ELECTRIC,Industrials
DXCM,DEXCOM INC,Health Care
GM,GENERAL MOTORS,Consumer Discretionary
SRE,SEMPRA,Utilities
NXPI,NXP SEMICONDUCTORS NV,Information Technology
EL,ESTEE LAUDER INC CLASS A,Consumer Staples
F,FORD MOTOR CO,Consumer Discretionary
AJG,ARTHUR J GALLAGHER,Financials
FTNT,FORTINET INC,Information Technology
MNST,MONSTER BEVERAGE CORP,Consumer Staples
APH,AMPHENOL CORP CLASS A,Information Technology
PSA,PUBLIC STORAGE REIT,Real Estate
AEP,AMERICAN ELECTRIC POWER INC,Utilities
PSX,PHILLIPS,Energy
BIIB,BIOGEN INC,Health Care
ADSK,AUTODESK INC,Information Technology
D,DOMINION ENERGY INC,Utilities
ABNB,AIRBNB INC CLASS A,Consumer Discretionary
USB,US BANCORP,Financials
VLO,VALERO ENERGY CORP,Energy
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials
ECL,ECOLAB INC,Materials
TRV,TRAVELERS COMPANIES INC,Financials
OXY,OCCIDENTAL PETROLEUM CORP,Energy
PH,PARKER-HANNIFIN CORP,Industrials
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary
TDG,TRANSDIGM GROUP INC,Industrials
MRNA,MODERNA INC,Health Care
TFC,TRUIST FINANCIAL CORP,Financials
CTAS,CINTAS CORP,Industrials
CTVA,CORTEVA INC,Materials
IDXX,IDEXX LABORATORIES INC,Health Care
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials
ADM,ARCHER DANIELS MIDLAND,Consumer Staples
MRVL,MARVELL TECHNOLOGY INC,Information Technology
EXC,EXELON CORP,Utilities
WDAY,WORKDAY INC CLASS A,Information Technology
TT,TRANE TECHNOLOGIES PLC,Industrials
TEL,TE CONNECTIVITY LTD,Information Technology
A,AGILENT TECHNOLOGIES INC,Health Care
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary
HSY,HERSHEY FOODS,Consumer Staples
CPRT,COPART INC,Industrials
MSCI,MSCI INC,Financials
COF,CAPITAL ONE FINANCIAL CORP,Financials
IQV,IQVIA HOLDINGS INC,Health Care
O,REALTY INCOME REIT CORP,Real Estate
PCAR,PACCAR INC,Industrials
YUM,YUM BRANDS INC,Consumer Discretionary
AFL,AFLAC INC,Financials
HES,HESS CORP,Energy
ON,ON SEMICONDUCTOR CORP,Information Technology
SYY,SYSCO CORP,Consumer Staples
DOW,DOW INC,Materials
CNC,CENTENE CORP,Health Care
WELL,WELLTOWER INC,Real Estate
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication
ROST,ROSS STORES INC,Consumer Discretionary
XEL,XCEL ENERGY INC,Utilities
WMB,WILLIAMS INC,Energy
LNG,CHENIERE ENERGY INC,Energy
ANET,ARISTA NETWORKS INC,Information Technology
LHX,L3HARRIS TECHNOLOGIES INC,Industrials
CARR,CARRIER GLOBAL CORP,Industrials
PAYX,PAYCHEX INC,Industrials
NUE,NUCOR CORP,Materials
MET,METLIFE INC,Financials
AME,AMETEK INC,Industrials
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate
OTIS,OTIS WORLDWIDE CORP,Industrials
NEM,NEWMONT,Materials
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials
VRSK,VERISK ANALYTICS INC,Industrials
DHI,D R HORTON INC,Consumer Discretionary
ED,CONSOLIDATED EDISON INC,Utilities
DLTR,DOLLAR TREE INC,Consumer Staples
ILMN,ILLUMINA INC,Health Care
RMD,RESMED INC,Health Care
PPG,PPG INDUSTRIES INC,Materials
VICI,VICI PPTYS INC,Real Estate
KMI,KINDER MORGAN INC,Energy
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology
EA,ELECTRONIC ARTS INC,Communication
SQ,BLOCK INC CLASS A,Financials
CSGP,COSTAR GROUP INC,Industrials
KR,KROGER,Consumer Staples
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology
DVN,DEVON ENERGY CORP,Energy
ROK,ROCKWELL AUTOMATION INC,Industrials
AMP,AMERIPRISE FINANCE INC,Financials
CMI,CUMMINS INC,Industrials
FERG,FERGUSON PLC,Industrials
FAST,FASTENAL,Industrials
ALL,ALLSTATE CORP,Financials
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities
MTD,METTLER TOLEDO INC,Health Care
DD,DUPONT DE NEMOURS INC,Materials
TTD,TRADE DESK INC CLASS A,Communication
KHC,KRAFT HEINZ,Consumer Staples
BK,BANK OF NEW YORK MELLON CORP,Financials
PRU,PRUDENTIAL FINANCIAL INC,Financials
GWW,WW GRAINGER INC,Industrials
KKR,KKR AND CO INC,Financials
RSG,REPUBLIC SERVICES INC,Industrials
APO,APOLLO GLOBAL MANAGEMENT INC,Financials
GEHC,GE HEALTHCARE TECHNOLOGIES,Health Care
BKR,BAKER HUGHES CLASS A,Energy
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology
WEC,WEC ENERGY GROUP INC,Utilities
KDP,KEURIG DR PEPPER INC,Consumer Staples
AWK,AMERICAN WATER WORKS INC,Utilities
LEN,LENNAR A CORP,Consumer Discretionary
ABC,AMERISOURCEBERGEN CORP,Health Care
HAL,HALLIBURTON,Energy
GPN,GLOBAL PAYMENTS INC,Financials
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials
DFS,DISCOVER FINANCIAL SERVICES,Financials
ACGL,ARCH CAPITAL GROUP LTD,Financials
CEG,CONSTELLATION ENERGY CORP,Utilities
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication
PCG,PG&E CORP,Utilities
HPQ,HP INC,Information Technology
ANSS,ANSYS INC,Information Technology
SGEN,SEAGEN INC,Health Care
OKE,ONEOK INC,Energy
EFX,EQUIFAX INC,Industrials
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate
VMC,VULCAN MATERIALS,Materials
IT,GARTNER INC,Information Technology
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care
VMW,VMWARE CLASS A INC,Information Technology
EIX,EDISON INTERNATIONAL,Utilities
APTV,APTIV PLC,Consumer Discretionary
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate
MLM,MARTIN MARIETTA MATERIALS INC,Materials
ES,EVERSOURCE ENERGY,Utilities
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate
WTW,WILLIS TOWERS WATSON PLC,Financials
CBRE,CBRE GROUP INC CLASS A,Real Estate
TSCO,TRACTOR SUPPLY,Consumer Discretionary
ULTA,ULTA BEAUTY INC,Consumer Discretionary
IR,INGERSOLL RAND INC,Industrials
HUBS,HUBSPOT INC,Information Technology
ALB,ALBEMARLE CORP,Materials
PWR,QUANTA SERVICES INC,Industrials
FANG,DIAMONDBACK ENERGY INC,Energy
TROW,T ROWE PRICE GROUP INC,Financials
STT,STATE STREET CORP,Financials
EBAY,EBAY INC,Consumer Discretionary
GLW,CORNING INC,Information Technology
URI,UNITED RENTALS INC,Industrials
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care
TEAM,ATLASSIAN CORP CLASS A,Information Technology
CDW,CDW CORP,Information Technology
DDOG,DATADOG INC CLASS A,Information Technology
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care
FTV,FORTIVE CORP,Industrials
CHD,CHURCH AND DWIGHT INC,Consumer Staples
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials
GPC,GENUINE PARTS,Consumer Discretionary
HZNP,HORIZON THERAPEUTICS PUBLIC PLC,Health Care
DAL,DELTA AIR LINES INC,Industrials
HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples
WBA,WALGREEN BOOTS ALLIANCE INC,Consumer Staples
ENPH,ENPHASE ENERGY INC,Information Technology
CAH,CARDINAL HEALTH INC,Health Care
ALGN,ALIGN TECHNOLOGY INC,Health Care
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication
BAX,BAXTER INTERNATIONAL INC,Health Care
AEE,AMEREN CORP,Utilities
WY,WEYERHAEUSER REIT,Real Estate
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials
EQR,EQUITY RESIDENTIAL REIT,Real Estate
PODD,INSULET CORP,Health Care
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology
MTB,M&T BANK CORP,Financials
DTE,DTE ENERGY,Utilities
STE,STERIS,Health Care
VRSN,VERISIGN INC,Information Technology
FE,FIRSTENERGY CORP,Utilities
CTRA,COTERRA ENERGY INC,Energy
ETR,ENTERGY CORP,Utilities
PPL,PPL CORP,Utilities
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology
CLX,CLOROX,Consumer Staples
FSLR,FIRST SOLAR INC,Information Technology
HOLX,HOLOGIC INC,Health Care
TDY,TELEDYNE TECHNOLOGIES INC,Information Technology
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate
INVH,INVITATION HOMES INC,Real Estate
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary
MDB,MONGODB INC CLASS A,Information Technology
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary
COO,COOPER INC,Health Care
DOV,DOVER CORP,Industrials
LH,LABORATORY CORPORATION OF AMERICA,Health Care
FICO,FAIR ISAAC CORP,Information Technology
OMC,OMNICOM GROUP INC,Communication
NDAQ,NASDAQ INC,Financials
XYL,XYLEM INC,Industrials
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate
MKL,MARKEL CORP,Financials
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials
CNP,CENTERPOINT ENERGY INC,Utilities
FLT,FLEETCOR TECHNOLOGIES INC,Financials
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary
VTR,VENTAS REIT INC,Real Estate
RJF,RAYMOND JAMES INC,Financials
FITB,FIFTH THIRD BANCORP,Financials
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials
LUV,SOUTHWEST AIRLINES,Industrials
BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care
BALL,BALL CORP,Materials
BLDR,BUILDERS FIRSTSOURCE INC,Industrials
DASH,DOORDASH INC CLASS A,Consumer Discretionary
RF,REGIONS FINANCIAL CORP,Financials
K,KELLOGG,Consumer Staples
NVR,NVR INC,Consumer Discretionary
CMS,CMS ENERGY CORP,Utilities
GRMN,GARMIN LTD,Consumer Discretionary
CAG,CONAGRA BRANDS INC,Consumer Staples
MAA,MID AMERICA APARTMENT COMMUNITIES,Real Estate
SEDG,SOLAREDGE TECHNOLOGIES INC,Information Technology
MOH,MOLINA HEALTHCARE INC,Health Care
TYL,TYLER TECHNOLOGIES INC,Information Technology
CINF,CINCINNATI FINANCIAL CORP,Financials
NET,CLOUDFLARE INC CLASS A,Information Technology
ATO,ATMOS ENERGY CORP,Utilities
HWM,HOWMET AEROSPACE INC,Industrials
SWKS,SKYWORKS SOLUTIONS INC,Information Technology
STLD,STEEL DYNAMICS INC,Materials
SUI,SUN COMMUNITIES REIT INC,Real Estate
SJM,JM SMUCKER,Consumer Staples
TRGP,TARGA RESOURCES CORP,Energy
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials
WAT,WATERS CORP,Health Care
IRM,IRON MOUNTAIN INC,Real Estate
LPLA,LPL FINANCIAL HOLDINGS INC,Financials
LW,LAMB WESTON HOLDINGS INC,Consumer Staples
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,Financials
AMCR,AMCOR PLC,Materials
ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS,Information Technology
IEX,IDEX CORP,Industrials
BRO,BROWN & BROWN INC,Financials
UAL,UNITED AIRLINES HOLDINGS INC,Industrials
HBAN,HUNTINGTON BANCSHARES INC,Financials
PHM,PULTEGROUP INC,Consumer Discretionary
NTRS,NORTHERN TRUST CORP,Financials
TER,TERADYNE INC,Information Technology
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Communication
FDS,FACTSET RESEARCH SYSTEMS INC,Financials
EPAM,EPAM SYSTEMS INC,Information Technology
RVTY,REVVITY INC,Health Care
SPLK,SPLUNK INC,Information Technology
FWONK,LIBERTY MEDIA FORMULA ONE CORP SER,Communication
HUBB,HUBBELL INC,Industrials
J,JACOBS SOLUTIONS INC,Industrials
MRO,MARATHON OIL CORP,Energy
EXAS,EXACT SCIENCES CORP,Health Care
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology
CBOE,CBOE GLOBAL MARKETS INC,Financials
ENTG,ENTEGRIS INC,Information Technology
DGX,QUEST DIAGNOSTICS INC,Health Care
NTAP,NETAPP INC,Information Technology
PTC,PTC INC,Information Technology
EXPE,EXPEDIA GROUP INC,Consumer Discretionary
WPC,W. P. CAREY REIT INC,Real Estate
RBLX,ROBLOX CORP CLASS A,Communication
RS,RELIANCE STEEL & ALUMINUM,Materials
TSN,TYSON FOODS INC CLASS A,Consumer Staples
TRU,TRANSUNION,Industrials
AES,AES CORP,Utilities
RE,EVEREST RE GROUP LTD,Financials
AVTR,AVANTOR INC,Health Care
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials
LKQ,LKQ CORP,Consumer Discretionary
BBY,BEST BUY CO INC,Consumer Discretionary
PAYC,PAYCOM SOFTWARE INC,Industrials
PINS,PINTEREST INC CLASS A,Communication
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology
AVY,AVERY DENNISON CORP,Materials
ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate
CFG,CITIZENS FINANCIAL GROUP INC,Financials
EVRG,EVERGY INC,Utilities
BG,BUNGE LTD,Consumer Staples
AXON,AXON ENTERPRISE INC,Industrials
GGG,GRACO INC,Industrials
FMC,FMC CORP,Materials
SNA,SNAP ON INC,Industrials
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary
TXT,TEXTRON INC,Industrials
POOL,POOL CORP,Consumer Discretionary
TECH,BIO TECHNE CORP,Health Care
LNT,ALLIANT ENERGY CORP,Utilities
EQT,EQT CORP,Energy
SRPT,SAREPTA THERAPEUTICS INC,Health Care
CF,CF INDUSTRIES HOLDINGS INC,Materials
ARES,ARES MANAGEMENT CORP CLASS A,Financials
SYF,SYNCHRONY FINANCIAL,Financials
RPRX,ROYALTY PHARMA PLC CLASS A,Health Care
OKTA,OKTA INC CLASS A,Information Technology
UDR,UDR REIT INC,Real Estate
WDC,WESTERN DIGITAL CORP,Information Technology
PEN,PENUMBRA INC,Health Care
GLPI,GAMING AND LEISURE PROPERTIES REIT,Real Estate
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials
HST,HOST HOTELS & RESORTS REIT INC,Real Estate
SWK,STANLEY BLACK & DECKER INC,Industrials
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials
MOS,MOSAIC,Materials
TRMB,TRIMBLE INC,Information Technology
INCY,INCYTE CORP,Health Care
LYV,LIVE NATION ENTERTAINMENT INC,Communication
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary
PKG,PACKAGING CORP OF AMERICA,Materials
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples
CPT,CAMDEN PROPERTY TRUST REIT,Real Estate
WRB,WR BERKLEY CORP,Financials
CHRW,CH ROBINSON WORLDWIDE INC,Industrials
TFX,TELEFLEX INC,Health Care
TAP,MOLSON COORS BREWING CLASS B,Consumer Staples
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology
MAS,MASCO CORP,Industrials
KIM,KIMCO REALTY REIT CORP,Real Estate
NDSN,NORDSON CORP,Industrials
L,LOEWS CORP,Financials
DKNG,DRAFTKINGS INC CLASS A,Consumer Discretionary
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology
HRL,HORMEL FOODS CORP,Consumer Staples
KMX,CARMAX INC,Consumer Discretionary
VTRS,VIATRIS INC,Health Care
ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate
PEAK,HEALTHPEAK PROPERTIES,Real Estate
JBL,JABIL INC,Information Technology
ETSY,ETSY INC,Consumer Discretionary
WYNN,WYNN RESORTS LTD,Consumer Discretionary
DOCU,DOCUSIGN INC,Information Technology
IP,INTERNATIONAL PAPER,Materials
GDDY,GODADDY INC CLASS A,Information Technology
CCL,CARNIVAL CORP,Consumer Discretionary
MANH,MANHATTAN ASSOCIATES INC,Information Technology
BWA,BORGWARNER INC,Consumer Discretionary
ZS,ZSCALER INC,Information Technology
JKHY,JACK HENRY AND ASSOCIATES INC,Financials
LSI,LIFE STORAGE INC,Real Estate
DPZ,DOMINOS PIZZA INC,Consumer Discretionary
NI,NISOURCE INC,Utilities
CSL,CARLISLE COMPANIES INC,Industrials
DT,DYNATRACE INC,Information Technology
WSO,WATSCO INC,Industrials
TTC,TORO,Industrials
BURL,BURLINGTON STORES INC,Consumer Discretionary
CE,CELANESE CORP,Materials
LDOS,LEIDOS HOLDINGS INC,Industrials
ACM,AECOM,Industrials
MKTX,MARKETAXESS HOLDINGS INC,Financials
APA,APA CORP,Energy
ARMK,ARAMARK,Consumer Discretionary
FIVE,FIVE BELOW INC,Consumer Discretionary
DAR,DARLING INGREDIENTS INC,Consumer Staples
HSIC,HENRY SCHEIN INC,Health Care
AMH,AMERICAN HOMES RENT REIT CLASS A,Real Estate
RPM,RPM INTERNATIONAL INC,Materials
TWLO,TWILIO INC CLASS A,Information Technology
OC,OWENS CORNING,Industrials
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care
SWAV,SHOCKWAVE MEDICAL INC,Health Care
CPB,CAMPBELL SOUP,Consumer Staples
REXR,REXFORD INDUSTRIAL REALTY REIT INC,Real Estate
HEIA,HEICO CORP CLASS A,Industrials
RGA,REINSURANCE GROUP OF AMERICA INC,Financials
EMN,EASTMAN CHEMICAL,Materials
SCI,SERVICE,Consumer Discretionary
CDAY,CERIDIAN HCM HOLDING INC,Industrials
TPR,TAPESTRY INC,Consumer Discretionary
CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary
GEN,GEN DIGITAL INC,Information Technology
FND,FLOOR DECOR HOLDINGS INC CLASS A,Consumer Discretionary
CUBE,CUBESMART REIT,Real Estate
GL,GLOBE LIFE INC,Financials
COIN,COINBASE GLOBAL INC CLASS A,Financials
PNR,PENTAIR,Industrials
CCK,CROWN HOLDINGS INC,Materials
UTHR,UNITED THERAPEUTICS CORP,Health Care
MTN,VAIL RESORTS INC,Consumer Discretionary
QRVO,QORVO INC,Information Technology
KEY,KEYCORP,Financials
LECO,LINCOLN ELECTRIC HOLDINGS INC,Industrials
MTCH,MATCH GROUP INC,Communication
WTRG,ESSENTIAL UTILITIES INC,Utilities
JNPR,JUNIPER NETWORKS INC,Information Technology
BILL,BILL HOLDINGS INC,Information Technology
SNAP,SNAP INC CLASS A,Communication
ALLE,ALLEGION PLC,Industrials
ROL,ROLLINS INC,Industrials
FOXA,FOX CORP CLASS A,Communication
WSC,WILLSCOT MOBILE MINI HOLDINGS CORP,Industrials
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary
LBRDK,LIBERTY BROADBAND CORP SERIES C,Communication
AAL,AMERICAN AIRLINES GROUP INC,Industrials
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples
BSY,BENTLEY SYSTEMS INC CLASS B,Information Technology
NBIX,NEUROCRINE BIOSCIENCES INC,Health Care
VST,VISTRA CORP,Utilities
REG,REGENCY CENTERS REIT CORP,Real Estate
CGNX,COGNEX CORP,Information Technology
INSP,INSPIRE MEDICAL SYSTEMS INC,Health Care
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,Industrials
PNW,PINNACLE WEST CORP,Utilities
BBWI,BATH AND BODY WORKS INC,Consumer Discretionary
PFGC,PERFORMANCE FOOD GROUP,Consumer Staples
LII,LENNOX INTERNATIONAL INC,Industrials
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,Financials
FFIV,F5 INC,Information Technology
RRX,REGAL REXNORD CORP,Industrials
UNM,UNUM,Financials
BKI,BLACK KNIGHT INC,Information Technology
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care
AOS,A O SMITH CORP,Industrials
CHK,CHESAPEAKE ENERGY CORP,Energy
CASY,CASEYS GENERAL STORES INC,Consumer Staples
RGEN,REPLIGEN CORP,Health Care
EQH,EQUITABLE HOLDINGS INC,Financials
